"","SYMBOL","ENTREZID"
"1075","PNP","4860"
"1076","PRKACA","5566"
"1077","PRKACG","5568"
"1078","PRKG1","5592"
"1079","PRODH","5625"
"1080","PTH","5741"
"1081","PTHLH","5744"
"1082","RAC2","5880"
"1083","RHOA","387"
"1084","S100G","795"
"1085","SMO","6608"
"1086","TNFRSF1B","7133"
"1087","TWIST1","7291"
"1088","CD14","929"
"1089","GPD2","2820"
"1090","PLSCR1","5359"
"1091","MUC5AC","4586"
"1092","TFPI2","7980"
"1093","SLC28A2","9153"
"1094","CAMKK2","10645"
"1095","PTRH1","138428"
"1096","AARSD1","80755"
"1097","ACTBL2","345651"
"1098","ACTL10","170487"
"1099","ACTL6A","86"
"1100","ACTL6B","51412"
"1101","ACTL7A","10881"
"1102","ACTL7B","10880"
"1103","ACTL8","81569"
"1104","ACTL9","284382"
"1105","ACTR10","55860"
"1106","ACTR2","10097"
"1107","ACTR3","10096"
"1108","ACTR3B","57180"
"1109","ACTR3C","653857"
"1110","ACTR8","93973"
"1111","ACTRT1","139741"
"1112","ACTRT2","140625"
"1113","ACTRT3","84517"
"1114","ALDH1L1","10840"
"1115","ALDH1L2","160428"
"1116","AOPEP","84909"
"1117","ARF3","377"
"1120","CDK9","1025"
"1121","CLEC2B","9976"
"1122","COL22A1","169044"
"1123","CTBP2","1488"
"1124","CTSS","1520"
"1125","FOXA2","3170"
"1126","FUT1","2523"
"1127","GALNT1","2589"
"1128","GART","2618"
"1129","GLI1","2735"
"1130","GMDS","2762"
"1131","IFFO2","126917"
"1132","LVRN","206338"
"1133","MAT2A","4144"
"1134","MAT2B","27430"
"1135","MDH2","4191"
"1136","MIR25","407014"
"1137","MIR7-3HG","284424"
"1138","MTAP","4507"
"1139","MTHFD1","4522"
"1140","MTHFD2","10797"
"1141","PPIAL4D","645142"
"1142","PPIAL4F","728945"
"1143","PPIAL4G","644591"
"1144","PPIL1","51645"
"1145","PPIL4","85313"
"1146","PPY","5539"
"1147","PRKACB","5567"
"1148","PRKG2","5593"
"1149","PRKX","5613"
"1150","PRODH2","58510"
"1152","PTDSS2","81490"
"1153","RAC3","5881"
"1154","REM1","28954"
"1155","RHOC","389"
"1156","RHOG","391"
"1157","RIDA","10247"
"1158","RNASE1","6035"
"1159","RNPEP","6051"
"1160","RNPEPL1","57140"
"1161","SDSL","113675"
"1162","SLA2","84174"
"1163","SLC38A1","81539"
"1164","SRR","63826"
"1165","TJP1","7082"
"1166","TSR1","55720"
"1167","UPP1","7378"
"1168","VWA1","64856"
"1169","NR0B1","190"
"1170","FSHB","2488"
"1171","NOS3","4846"
"1172","PIWIL4","143689"
"1173","PIWIL3","440822"
"1174","BRWD1","54014"
"1175","TPCN1","53373"
"1176","BSCL2","26580"
"1177","CGA","1081"
"1178","DICER1","23405"
"1179","ESR1","2099"
"1180","CDC14A","8556"
"1181","DAZ1","1617"
"1182","CFTR","1080"
"1183","SPATA20","64847"
"1184","DDX3Y","8653"
"1185","DAZ2","57055"
"1186","USP9Y","8287"
"1187","DAZ3","57054"
"1188","DAZ4","57135"
"1189","RBMY1A1","5940"
"1190","PMFBP1","83449"
"1191","ARMC2","84071"
"1192","ANTXR1","84168"
"1193","CEP19","84984"
"1194","POC1A","25886"
"1195","CNBP","7555"
"1196","TSPY1","7258"
"1197","NR3C1","2908"
"1198","BRD2","6046"
"1199","LHCGR","3973"
"1200","HOXD13","3239"
"1201","AZF1","560"
"1202","STRC","161497"
"1203","SUN5","140732"
"1204","ADGRG2","10149"
"1205","CATSPER1","117144"
"1206","CATSPER2","117155"
"1207","MTHFR","4524"
"1208","AR","367"
"1209","FSHR","2492"
"1210","BOLL","66037"
"1211","GSTM1","2944"
"1212","PRM1","5619"
"1213","USP26","83844"
"1214","PRM2","5620"
"1215","IGF2","3481"
"1216","MLH1","4292"
"1217","GSTT1","2952"
"1218","CDY1","9085"
"1219","DAZL","1618"
"1220","SLC10A6","345274"
"1221","TNF","7124"
"1222","GSTP1","2950"
"1223","FASLG","356"
"1224","SOD1","6647"
"1225","MEG3","55384"
"1226","POLG","5428"
"1227","MSH5","4439"
"1228","BPY2C","442868"
"1229","BPY2B","442867"
"1230","SEPTIN12","124404"
"1231","DDX4","54514"
"1232","STS","412"
"1233","PGAM1","5223"
"1234","MEST","4232"
"1235","CASP3","836"
"1236","ARTN","9048"
"1237","MAEL","84944"
"1238","BPY2","9083"
"1239","EGF","1950"
"1240","CCNA1","8900"
"1241","AGRP","181"
"1242","MLH3","27030"
"1243","SPO11","23626"
"1244","DNMT1","1786"
"1245","H19-ICR","105259599"
"1246","GTF2A1L","11036"
"1247","SEMG1","6406"
"1248","SNURF","8926"
"1249","ATXN1","6310"
"1250","AICDA","57379"
"1251","RPS6KA2","6196"
"1252","TTTY2","60439"
"1253","PROM1","8842"
"1254","DLK1","8788"
"1255","PRMT6","55170"
"1256","DIRAS3","9077"
"1257","REC8","9985"
"1258","SLC22A6","9356"
"1259","SIRPG","55423"
"1260","PRB3","5544"
"1261","SRGN","5552"
"1262","HAUS7","55559"
"1263","SLC16A7","9194"
"1264","WDR20","91833"
"1265","PRL","5617"
"1266","CREM","1390"
"1267","PRPS2","5634"
"1268","PYGO2","90780"
"1269","RABL2B","11158"
"1270","PERP","64065"
"1271","CARM1","10498"
"1272","WNT3","7473"
"1273","XIST","7503"
"1274","HORMAD1","84072"
"1275","XPC","7508"
"1276","CDK2","1017"
"1277","DDR1","780"
"1278","WLS","79971"
"1279","IFT74","80173"
"1280","COMETT","100996266"
"1281","JAM3","83700"
"1282","TET1","80312"
"1283","ESX1","80712"
"1284","CYP2D6","1565"
"1285","UBE2B","7320"
"1286","KATNB1","10300"
"1287","CASD1","64921"
"1288","HSFY1","86614"
"1289","MARCKSL1","65108"
"1290","SOAT1","6646"
"1291","MIR1260A","100302236"
"1292","SOD2","6648"
"1293","SOX5","6660"
"1294","SPINK2","6691"
"1295","HOTTIP","100316868"
"1296","SRD5A2","6716"
"1297","BRCA1","672"
"1298","BRCA2","675"
"1299","GOLGA2P2Y","84559"
"1300","TP53","7157"
"1301","LINC01672","100505887"
"1302","TEX101","83639"
"1303","DMRT1","1761"
"1304","HPGDS","27306"
"1305","GNAS","2778"
"1306","GNRHR","2798"
"1307","IZUMO1","284359"
"1308","TUSC1","286319"
"1309","SIRPA","140885"
"1310","DDX25","29118"
"1311","UHRF1","29128"
"1312","ANXA5","308"
"1313","HLA-A","3105"
"1314","HLA-B","3106"
"1315","HLA-C","3107"
"1316","HLA-DQA1","3117"
"1317","HLA-DQB1","3119"
"1318","HMOX1","3162"
"1319","APCS","325"
"1320","PABPC1","26986"
"1321","AMH","268"
"1322","PARP1","142"
"1323","DMWD","1762"
"1324","DNMT3A","1788"
"1325","DNMT3B","1789"
"1326","HSFY2","159119"
"1327","EPHX2","2053"
"1328","H2BW1","158983"
"1329","TDRD6","221400"
"1330","SETX","23064"
"1331","TBC1D9","23158"
"1332","UBR2","23304"
"1333","NCAPD3","23310"
"1334","CYP17A1","1586"
"1335","VPS13B","157680"
"1336","CD24","100133941"
"1337","CSNK2A2","1459"
"1338","PRPF31","26121"
"1339","NLRP14","338323"
"1340","IFNA1","3439"
"1341","KITLG","4254"
"1342","ATXN3","4287"
"1343","ABCC1","4363"
"1344","FAM47C","442444"
"1345","MSH2","4436"
"1346","MTR","4548"
"1347","RNR2","4550"
"1348","RNR2","6053"
"1349","CYP2R1","120227"
"1350","OAT","4942"
"1351","CLDN11","5010"
"1352","OTSC1","5012"
"1353","PABPC3","5042"
"1354","PGR","5241"
"1355","ABCB1","5243"
"1356","CLU","1191"
"1357","PMS2","5395"
"1358","SMAD4","4089"
"1359","MAGEB4","4115"
"1360","SLCO6A1","133482"
"1361","MIR34C","407042"
"1362","IFNA13","3447"
"1363","STRA8","346673"
"1364","RBMY2DP","347598"
"1365","IGF1","3479"
"1366","FAS","355"
"1367","IL2","3558"
"1368","INSL3","3640"
"1369","GSTK1","373156"
"1370","KCNK3","3777"
"1371","RBMY1D","378949"
"1372","KIT","3815"
"1373","LCT","3938"
"1374","GOLGA2P3Y","401634"
"1375","MIR139","406931"
"1376","MIR19B1","406980"
"1377","MIR210","406992"
"1378","ANO1","55107"
"1379","RPS4Y2","140032"
"1380","VCY","9084"
"1381","XKRY","9082"
"1382","PRY","9081"
"1383","KDM5D","8284"
"1384","PRY2","442862"
"1385","CDY2A","9426"
