"","SYMBOL","ENTREZID"
"252","CLEC4M","10332"
"253","CLEC5A","23601"
"254","CLEC6A","93978"
"255","CLEC9A","283420"
"257","CLIC1","1192"
"258","COL16A1","1307"
"259","COL20A1","57642"
"260","COL23A1","91522"
"261","COL24A1","255631"
"262","COL5A3","50509"
"263","COL6A5","256076"
"264","COL6A6","131873"
"265","CORT","1325"
"266","CPVL","54504"
"267","CR1L","1379"
"268","CRABP2","1382"
"269","CRCT1","54544"
"270","CRELD2","79174"
"271","CSMD1","64478"
"272","CSMD2","114784"
"273","CSMD3","114788"
"274","CTCFL","140690"
"275","CTTNBP2","83992"
"276","CUL1","8454"
"277","DCAF16","54876"
"278","DCUN1D1","54165"
"279","DDB1","1642"
"280","DEFB129","140881"
"281","DLG1","1739"
"282","DLG2","1740"
"283","DLG5","9231"
"284","DNASE2","1777"
"285","DPP10","57628"
"286","DTYMK","1841"
"287","DVL2","1856"
"288","DYNC1LI2","1783"
"289","EGR4","1961"
"290","EHMT2","10919"
"291","EML4","27436"
"292","EMP1","2012"
"293","ENAH","55740"
"294","ENTPD3","956"
"296","ESPNL","339768"
"297","ETNPPL","64850"
"298","EVPLL","645027"
"299","FAM83F","113828"
"300","FANK1","92565"
"301","FAT2","2196"
"302","FEM1A","55527"
"303","FEM1B","10116"
"304","FEM1C","56929"
"305","FES","2242"
"306","FEZ1","9638"
"307","FEZF2","55079"
"308","FIZ1","84922"
"309","FLRT2","23768"
"310","FMO1","2326"
"311","FMO2","2327"
"312","FMO4","2329"
"313","FNTB","2342"
"314","FOXQ1","94234"
"315","FPGT-TNNI3K","100526835"
"316","G6PC2","57818"
"317","GALM","130589"
"318","GCLM","2730"
"319","GLI4","2738"
"320","GLIS1","148979"
"321","GNB2","2783"
"322","GNB3","2784"
"323","GNG10","2790"
"324","GNG11","2791"
"325","GNG12","55970"
"326","GNG13","51764"
"327","GNG3","2785"
"328","GNG5","2787"
"329","GNG7","2788"
"330","GNG8","94235"
"331","GNGT2","2793"
"332","GPNMB","10457"
"333","GPR50","9248"
"334","GPX5","2880"
"335","GPX7","2882"
"336","GRAMD1B","57476"
"337","GRK2","156"
"338","GRK4","2868"
"339","GRK5","2869"
"340","GRK7","131890"
"341","GSDMA","284110"
"342","GSPT1","2935"
"343","GSPT2","23708"
"344","GUK1","2987"
"345","GZF1","64412"
"346","HAS3","3038"
"347","HDDC2","51020"
"348","HIC2","23119"
"349","HILPDA","29923"
"350","HLTF","6596"
"351","HOXB9","3219"
"352","HP1BP3","50809"
"353","HPCAL4","51440"
"354","IFI44","10561"
